"","stop_id","stop_name","stop_lat","stop_lon","zip"
"151","000008012257","Lubolz, Bahnhof",51.962401,13.82131,NA
"152","000008012371","Mockrehna, Bahnhof",51.505547,12.819528,"4862"
"153","000008012681","Prösen, Ost Bhf",51.425144,13.50048,"4932"
"154","000008012011","Brandenburg, Kirchmöser Bhf",52.375453,12.421661,"14774"
"155","000008013444","Dresden, Bahnhof Mitte",51.056156,13.72387,"1067"
"156","000008081586","Seegefeld, Bahnhof",52.552757,13.115827,"14612"
"157","000008012903","Schönborn, Bahnhof",51.601989,13.468036,"3253"
"158","000008011173","Bestensee, Bahnhof",52.242283,13.634536,"15741"
"159","000008011179","Beutersitz, Bahnhof",51.590096,13.360627,"4924"
"160","000008011486","Elster (Elbe), Bahnhof",51.832543,12.827152,"6895"
"161","000008011944","Jänschwalde, Bahnhof",51.866457,14.500611,"3197"
"162","000008011945","Jänschwalde, Ost Bhf",51.877718,14.54099,"3197"
"163","000008011940","Jacobsdorf (Mark), Bahnhof",52.332674,14.355673,"15236"
"164","000008012006","Kerkwitz, Bahnhof",51.909526,14.62722,"3172"
"165","000008010287","Pritzwalk, Bahnhof",53.145967,12.184525,"16928"
"166","000008010284","Priemerburg",53.795979,12.223022,"18273"
"167","000008010285","Priestewitz, Bahnhof",51.250714,13.508716,"1561"
"168","000008010282","Prenzlau, Bahnhof",53.321614,13.866558,"17291"
"169","000008010280","Potsdam, Charlottenhof Bhf",52.392828,13.035788,"14471"
"170","000008013275","Lutherstadt Wittenberg, Bhf Labetz",51.871219,12.695082,"6886"
"171","000008013272","Wellmitz, Bahnhof",52.064704,14.714853,"15898"
"172","000008011630","Gerwisch, Bahnhof",52.177297,11.741685,"39175"
"173","000008011044","Anklam, Bahnhof",53.856168,13.701654,"17389"
"174","000008011042","Angern-Rogätz, Bahnhof",52.339029,11.759805,"39326"
"175","000008013313","Wilmersdorf (bei Angermünde), Bahnhof",53.111412,13.893207,"16278"
"176","000008011048","Annaburg, Bhf",51.728678,13.03275,"6925"
"177","000008012358","Miltzow, Bahnhof",54.199259,13.201011,"18519"
"178","000008010396","Züssow, Bahnhof",53.973881,13.548192,"17495"
"179","000008012967","Seehausen (Altmark), Bahnhof",52.885488,11.743531,"39615"
"180","000008010395","Zossen, Bahnhof",52.218899,13.439169,"15806"
"181","000008012968","Seehausen (UM), Bahnhof",53.221029,13.884549,"17291"
"182","000008010399","Fürstenberg (Havel), Bahnhof",53.186497,13.139805,"16798"
"183","000008013305","Wiesenau, Bahnhof",52.231286,14.583823,"15295"
"184","000008011154","Berkenbrück (LOS), Bahnhof",52.357185,14.165226,"15518"
"185","000008012341","Cottbus, Merzdorf Bhf",51.768927,14.366592,"3042"
"186","000008012957","Caputh, Schwielowsee Bhf",52.341039,12.980586,"14548"
"187","000008010384","Wittstock (Dosse), Bahnhof",53.160824,12.478766,"16909"
"188","000008010382","Wittenberge, Bahnhof",53.002077,11.762899,"19322"
"189","000008013258","Weisen, Bahnhof",53.025685,11.788002,"19322"
"190","000008013376","Zeesen, Bahnhof",52.264919,13.634857,"15711"
"191","000008013371","Zahna, Bahnhof",51.918892,12.77935,"6895"
"192","000008011730","Groß Pankow, Bahnhof",53.123008,12.047107,"16928"
"193","000008013137","Trebbin, Bahnhof",52.216898,13.229888,"14959"
"194","000008011294","Burg (bei Magdeburg), Bahnhof",52.274892,11.841726,"39288"
"195","000008011290","Bülzig, Bahnhof",51.894872,12.752553,"6895"
"196","000008080190","S Birkenwerder Bhf",52.687871,13.288417,"16547"
"197","000008012175","Lauta, Bahnhof",51.447248,14.09311,"2991"
"198","000008012487","Niedergörsdorf, Bahnhof",51.967879,12.978498,"14913"
"199","000008012944","Schwedt, Mitte Bhf",53.068342,14.271658,"16303"
"200","000008012942","Schwarzkollm, Bahnhof",51.443318,14.133568,"2977"
"201","000008012943","Schwedt, Bahnhof",53.063044,14.290626,"16303"
"202","000008012941","Schwarzheide, Ost Bhf",51.473778,13.891002,"1987"
"203","000008010095","Eilenburg, Bahnhof",51.452006,12.636845,"4838"
"204","000008010093","Eberswalde, Hauptbahnhof",52.833665,13.797032,"16225"
"205","000008010099","Elsterwerda, Bahnhof",51.459716,13.517418,"4910"
"206","000008013365","Wusterwitz, Bahnhof",52.385278,12.372994,"14789"
"207","000008011725","Groß Kreutz, Bahnhof",52.411002,12.776672,"14550"
"208","000008011723","Groß Kiesow, Bahnhof",54.01372,13.480622,"17495"
"209","000008013368","Zabeltitz, Bahnhof",51.349875,13.515489,"1561"
"210","000008013123","Thyrow, Bahnhof",52.247121,13.259936,"14959"
"211","000008012636","Pillgram, Bahnhof",52.336903,14.397962,"15236"
"212","000008012637","Pinnow (UM), Bahnhof",53.065581,14.089945,"16278"
"213","000008012040","Klieken, Bhf",51.894518,12.371757,"6869"
"214","000008010406","S+U Zoologischer Garten Bhf (Berlin)",52.506921,13.332707,"10623"
"215","000008010404","S Spandau Bhf (Berlin)",52.534798,13.197477,"13597"
"216","000008010405","S Wannsee Bhf (Berlin)",52.421457,13.179099,"14109"
"217","000008010403","S Charlottenburg Bhf (Berlin)",52.504805,13.303843,"10627"
"218","000008012169","Lauchhammer West, Bahnhof",51.474401,13.74397,"1979"
"219","000008011894","Hohenleipisch, Bahnhof",51.492884,13.565128,"4934"
"220","000008010085","Dresden, Hauptbahnhof",51.040723,13.732195,"1067"
"221","000008010089","Dresden, Bahnhof Neustadt",51.065282,13.738348,"1097"
"222","000008013352","Wüstenfelde, Bahnhof",54.230224,13.139527,"18519"
"223","000008013350","Wünsdorf-Waldstadt, Bahnhof",52.16557,13.467921,"15806"
"224","000008011430","Potsdam, Medienstadt Babelsberg Bhf",52.383023,13.122184,"14482"
"225","000008011438","Ducherow, Bahnhof",53.76618,13.796064,"17398"
"226","000008012627","Petershagen (UM), Bahnhof",53.240043,14.252641,"16306"
"227","000008012622","Perleberg, Bahnhof",53.071051,11.851784,"19348"
"228","000008012621","Peitz, Ost Bhf",51.844073,14.448949,"3185"
"229","000008010233","Michendorf, Bahnhof",52.316137,13.03101,"14552"
"230","000008010231","Meinsdorf (bei Roßlau), Bahnhof",51.903096,12.255825,"6862"
"231","000008010239","Nauen, Bahnhof",52.612335,12.885156,"14641"
"232","000008011667","Gollmitz, Bahnhof",51.704677,13.886832,"3205"
"233","000008011665","Goldbeck (bei Osterburg), Bahnhof",52.716191,11.858197,"39596"
"234","000008011662","Götz, Bahnhof",52.4112,12.725709,"14550"
"235","000008011668","Golßen, Bahnhof",51.974152,13.575069,"15938"
