"","c.zips1..zips2."
"1055","10825"
"1056","10829"
"1057","10825"
"1058","10825"
"1059","10825"
"1060","10825"
"1061","10825"
"1062","10785"
"1063","10825"
"1064","10825"
"1065","10787"
"1066","10825"
"1067","10787"
"1068","10787"
"1069","10789"
"1070","10789"
"1071","10789"
"1072","10787"
"1073","10787"
"1074","10787"
"1075","10785"
"1076","10787"
"1077","10787"
"1078","10785"
"1079","10829"
"1080","10785"
"1081","10827"
"1082","10829"
"1083","10829"
"1084","10965"
"1085","10785"
"1086","10829"
"1087","12105"
"1088","10965"
"1089","12101"
"1090","12105"
"1091","12105"
"1092","12105"
"1093","12105"
"1094","12105"
"1095","12105"
"1096","12103"
"1097","12103"
"1098","12101"
"1099","12105"
"1100","12105"
"1101","10829"
"1102","10829"
"1103","12159"
"1104","12163"
"1105","12159"
"1106","12105"
"1107","12105"
"1108","12159"
"1109","12159"
"1110","12157"
"1111","12157"
"1112","12159"
"1113","12159"
"1114","12105"
"1115","12163"
"1116","12163"
"1117","12163"
"1118","12159"
"1119","12159"
"1120","12163"
"1121","12163"
"1122","12163"
"1123","12163"
"1124","12165"
"1125","12163"
"1126","12165"
"1127","12163"
"1128","12163"
"1129","12163"
"1130","12163"
"1131","12163"
"1132","12163"
"1133","12163"
"1134","12157"
"1135","12163"
"1136","12165"
"1137","12167"
"1138","12165"
"1139","12165"
"1140","12167"
"1141","12167"
"1142","12165"
"1143","12163"
"1144","12167"
"1145","12105"
"1146","12167"
"1147","12247"
"1148","12247"
"1149","12105"
"1150","12105"
"1151","12105"
"1152","12207"
"1153","12207"
"1154","12207"
"1155","12207"
"1156","12207"
"1157","12207"
"1158","12207"
"1159","12209"
"1160","12207"
"1161","12209"
"1162","12209"
"1163","12209"
"1164","12207"
"1165","12209"
"1166","12207"
"1167","12209"
"1168","12207"
"1169","12207"
"1170","12207"
"1171","12209"
"1172","12209"
"1173","12207"
"1174","12249"
"1175","12209"
"1176","12247"
"1177","12209"
"1178","12209"
"1179","12209"
"1180","12207"
"1181","12207"
"1182","12209"
"1183","12209"
"1184","12209"
"1185","12247"
"1186","12209"
"1187","12209"
"1188","12249"
"1189","12249"
"1190","12207"
"1191","14165"
"1192","14167"
"1193","14167"
"1194","14195"
"1195","12203"
"1196","14195"
"1197","12205"
"1198","12165"
"1199","14195"
"1200","12165"
"1201","12165"
"1202","12165"
"1203","14195"
"1204","12165"
"1205","12205"
"1206","12205"
"1207","14167"
"1208","14167"
"1209","12205"
"1210","12207"
"1211","12207"
"1212","12205"
"1213","12205"
"1214","12205"
"1215","12205"
"1216","12205"
"1217","12205"
"1218","12205"
"1219","12205"
"1220","12207"
"1221","12205"
"1222","12207"
"1223","12205"
"1224","12207"
"1225","12207"
"1226","12165"
"1227","12167"
"1228","12205"
"1229","12207"
"1230","12167"
"1231","12207"
"1232","12205"
"1233","12207"
"1234","12167"
"1235","12167"
"1236","12167"
"1237","12167"
"1238","12207"
"1239","12167"
"1240","12247"
"1241","12247"
"1242","12249"
"1243","12249"
"1244","12247"
"1245","12247"
"1246","12247"
"1247","12247"
"1248","12247"
"1249","12247"
"1250","12247"
"1251","12249"
"1252","12247"
"1253","12247"
"1254","12277"
"1255","12249"
"1256","12249"
"1257","12277"
"1258","12249"
"1259","12249"
"1260","12249"
"1261","12249"
"1262","12277"
"1263","12277"
"1264","12249"
"1265","12249"
"1266","12249"
"1267","12101"
"1268","12101"
"1269","12101"
"1270","10829"
"1271","10829"
"1272","10829"
"1273","10829"
"1274","12101"
"1275","12101"
"1276","12101"
"1277","12101"
"1278","12101"
"1279","12101"
"1280","12099"
"1281","12099"
"1282","12099"
"1283","12099"
"1284","12099"
"1285","12099"
"1286","12099"
"1287","12099"
"1288","12099"
"1289","12105"
"1290","12099"
"1291","12105"
"1292","12103"
"1293","12103"
"1294","12105"
"1295","12105"
"1296","12105"
"1297","12099"
"1298","12099"
"1299","12105"
"1300","12247"
"1301","10961"
"1302","10961"
"1303","12099"
"1304","12099"
"1305","12099"
"1306","12099"
"1307","12099"
"1308","12099"
"1309","12099"
"1310","12051"
"1311","12099"
"1312","12099"
"1313","12099"
"1314","12099"
"1315","12051"
"1316","12099"
"1317","12099"
"1318","12109"
"1319","12099"
"1320","12103"
"1321","12109"
"1322","12109"
"1323","12109"
"1324","12099"
"1325","12109"
"1326","12109"
"1327","12109"
"1328","12109"
"1329","12109"
"1330","12109"
"1331","12099"
"1332","12347"
"1333","12109"
"1334","12109"
"1335","12099"
"1336","12109"
"1337","12109"
"1338","12109"
"1339","12109"
"1340","12109"
"1341","12109"
"1342","12109"
"1343","12109"
"1344","12109"
"1345","12109"
"1346","12109"
"1347","12349"
"1348","12107"
"1349","12349"
"1350","12107"
"1351","12305"
"1352","12349"
"1353","12349"
"1354","12305"
"1355","12349"
"1356","12349"
"1357","12349"
"1358","12349"
"1359","12107"
"1360","12249"
"1361","12249"
"1362","12249"
"1363","12249"
"1364","12107"
"1365","12249"
"1366","12277"
"1367","12277"
"1368","12305"
"1369","12107"
"1370","12249"
"1371","12305"
"1372","12249"
"1373","12249"
"1374","12305"
"1375","12249"
"1376","12249"
"1377","12277"
"1378","12279"
"1379","12277"
"1380","12277"
"1381","12277"
"1382","12277"
"1383","12277"
"1384","12277"
"1385","12279"
"1386","12277"
"1387","12277"
"1388","12277"
"1389","12277"
"1390","12277"
"1391","12277"
"1392","12279"
"1393","12277"
"1394","12305"
"1395","12305"
"1396","12309"
"1397","12305"
"1398","12305"
"1399","12305"
"1400","12349"
"1401","12349"
"1402","12349"
"1403","12349"
"1404","12349"
"1405","12305"
"1406","12305"
"1407","12305"
"1408","12305"
"1409","12307"
"1410","12307"
"1411","12305"
"1412","12305"
"1413","12309"
"1414","12309"
"1415","12305"
"1416","12305"
"1417","12309"
"1418","12305"
"1419","12309"
"1420","12305"
"1421","12307"
"1422","12309"
"1423","12309"
"1424","12309"
"1425","12305"
"1426","12305"
"1427","12309"
"1428","12309"
"1429","12305"
"1430","12309"
"1431","12309"
"1432","12309"
"1433","12309"
"1434","12309"
"1435","12309"
"1436","12305"
"1437","12305"
"1438","12307"
"1439","12307"
"1440","12309"
"1441","12309"
"1442","12307"
"1443","12309"
"1444","12309"
"1445","12305"
"1446","12043"
"1447","12059"
"1448","12047"
"1449","12043"
"1450","12043"
"1451","12435"
"1452","12047"
"1453","12435"
"1454","10997"
"1455","12043"
"1456","12059"
"1457","12059"
"1458","12043"
"1459","12043"
"1460","12059"
"1461","12437"
"1462","12051"
"1463","12437"
"1464","12059"
"1465","12359"
"1466","12437"
"1467","12057"
"1468","12055"
"1469","12359"
"1470","12055"
"1471","12043"
"1472","12437"
"1473","12437"
"1474","12437"
"1475","12055"
"1476","12059"
"1477","12437"
"1478","12437"
"1479","12055"
"1480","12057"
"1481","12437"
"1482","12437"
"1483","12047"
"1484","12043"
"1485","12043"
"1486","12043"
"1487","12043"
"1488","12047"
"1489","12047"
"1490","12045"
"1491","12043"
"1492","12043"
"1493","12043"
"1494","12059"
"1495","12043"
"1496","12051"
"1497","12053"
"1498","10967"
"1499","12053"
"1500","12043"
"1501","12043"
"1502","12043"
"1503","12051"
"1504","12051"
"1505","12051"
"1506","12051"
"1507","12051"
"1508","12043"
"1509","12349"
"1510","12349"
"1511","12347"
"1512","12051"
"1513","12051"
"1514","12051"
"1515","12359"
"1516","12347"
"1517","12347"
"1518","12359"
"1519","12051"
"1520","12359"
"1521","12051"
"1522","12359"
"1523","12109"
"1524","12349"
"1525","12349"
"1526","12349"
"1527","12359"
"1528","12349"
"1529","12359"
"1530","12359"
"1531","12349"
"1532","12349"
"1533","12359"
"1534","12359"
"1535","12359"
"1536","12349"
"1537","12349"
"1538","12359"
"1539","12359"
"1540","12359"
"1541","12359"
"1542","12349"
"1543","12353"
"1544","12349"
"1545","12353"
"1546","12349"
"1547","12349"
"1548","12349"
"1549","12305"
"1550","12305"
"1551","12349"
"1552","12353"
"1553","12353"
"1554","12349"
"1555","12349"
"1556","12349"
"1557","12353"
"1558","12353"
"1559","12353"
"1560","12353"
"1561","12353"
"1562","12359"
"1563","12359"
"1564","12351"
"1565","12359"
"1566","12359"
"1567","12351"
"1568","12351"
"1569","12351"
"1570","12351"
"1571","12359"
"1572","12351"
"1573","12351"
"1574","12353"
"1575","12353"
"1576","12353"
"1577","12353"
"1578","12351"
"1579","12355"
"1580","12355"
"1581","12355"
"1582","12351"
"1583","12353"
"1584","12353"
"1585","12353"
"1586","12487"
"1587","12487"
"1588","12357"
"1589","12353"
"1590","12353"
"1591","12353"
"1592","12353"
"1593","12355"
"1594","12357"
"1595","12355"
"1596","12355"
"1597","12357"
"1598","12353"
"1599","12355"
"1600","12357"
"1601","12357"
"1602","12357"
"1603","12357"
"1604","12357"
"1605","12355"
"1606","12355"
"1607","12355"
"1608","12355"
"1609","12355"
"1610","12355"
"1611","12355"
"1612","12353"
"1613","12355"
"1614","12355"
"1615","12355"
"1616","12355"
"1617","12355"
"1618","12355"
"1619","12355"
"1620","12355"
"1621","12355"
"1622","12355"
"1623","12355"
"1624","12355"
"1625","12355"
"1626","12355"
"1627","12355"
"1628","12355"
"1629","13407"
"1630","13407"
"1631","13407"
"1632","13407"
"1633","13407"
"1634","13407"
"1635","13407"
"1636","13407"
"1637","13407"
"1638","13407"
"1639","13351"
"1640","13407"
"1641","13407"
"1642","13407"
"1643","13407"
"1644","13407"
"1645","13407"
"1646","13407"
"1647","13407"
"1648","13403"
"1649","13407"
"1650","13407"
"1651","13409"
"1652","13409"
"1653","13407"
"1654","13407"
"1655","13409"
"1656","13409"
"1657","13409"
"1658","13409"
"1659","13156"
"1660","13407"
"1661","13409"
"1662","13409"
"1663","13409"
"1664","13409"
"1665","13409"
"1666","13409"
"1667","13409"
"1668","13409"
"1669","13407"
"1670","13409"
"1671","13409"
"1672","13407"
"1673","13403"
"1674","13405"
"1675","13403"
"1676","13403"
"1677","13403"
"1678","13405"
"1679","13407"
"1680","13405"
"1681","13405"
"1682","13405"
"1683","13405"
"1684","13403"
"1685","13403"
"1686","13403"
"1687","13403"
"1688","13403"
"1689","13407"
"1690","13403"
"1691","13403"
"1692","13403"
"1693","13403"
"1694","13405"
"1695","13405"
"1696","13405"
"1697","13405"
"1698","13405"
"1699","13405"
"1700","13507"
"1701","13509"
"1702","13403"
"1703","13507"
"1704","13507"
"1705","13405"
"1706","13503"
"1707","13503"
"1708","13509"
"1709","13503"
"1710","13509"
"1711","13507"
"1712","13509"
"1713","13509"
"1714","13509"
"1715","13509"
"1716","13509"
"1717","13509"
"1718","13509"
"1719","13467"
"1720","13467"
"1721","13509"
"1722","13509"
"1723","13509"
"1724","13509"
"1725","13507"
"1726","13507"
"1727","13507"
"1728","13507"
"1729","13507"
"1730","13507"
"1731","13629"
"1732","13599"
"1733","13507"
"1734","13507"
"1735","13505"
"1736","13599"
"1737","13505"
"1738","13505"
"1739","13587"
"1740","13505"
"1741","13505"
"1742","13505"
"1743","13505"
"1744","13505"
"1745","13505"
"1746","13505"
"1747","13505"
"1748","13503"
"1749","13503"
"1750","13503"
"1751","13503"
"1752","13587"
"1753","13587"
"1754","13587"
"1755","13503"
"1756","13503"
"1757","13503"
"1758","13503"
"1759","13503"
"1760","13503"
"1761","13503"
"1762","13503"
"1763","13503"
"1764","13503"
"1765","13503"
"1766","13503"
"1767","13503"
"1768","13503"
"1769","13465"
"1770","13465"
"1771","13465"
"1772","13465"
"1773","13465"
"1774","13465"
"1775","13465"
"1776","13465"
"1777","13465"
"1778","13465"
"1779","13465"
"1780","13465"
"1781","13467"
"1782","13467"
"1783","13465"
"1784","13465"
"1785","13465"
"1786","13465"
"1787","13465"
"1788","13467"
"1789","13467"
"1790","13467"
"1791","13467"
"1792","13467"
"1793","13467"
"1794","13467"
"1795","13467"
"1796","13467"
"1797","13467"
"1798","13469"
"1799","13467"
"1800","13465"
"1801","13467"
"1802","13467"
"1803","13465"
"1804","13467"
"1805","13469"
"1806","13469"
"1807","13469"
"1808","13469"
"1809","13509"
"1810","13469"
"1811","13469"
"1812","13469"
"1813","13467"
"1814","13469"
"1815","13469"
"1816","13469"
"1817","13469"
"1818","13469"
"1819","13469"
"1820","13435"
"1821","13437"
"1822","13437"
"1823","13509"
"1824","13509"
"1825","13509"
"1826","13509"
"1827","13437"
"1828","13437"
"1829","13509"
"1830","13403"
"1831","13469"
"1832","13509"
"1833","13437"
"1834","13469"
"1835","13469"
"1836","13469"
"1837","13469"
"1838","13435"
"1839","13435"
"1840","13435"
"1841","13439"
"1842","13439"
"1843","13439"
"1844","13439"
"1845","13437"
"1846","13435"
"1847","13435"
"1848","13435"
"1849","13439"
"1850","13439"
"1851","13435"
"1852","13437"
"1853","13439"
"1854","13439"
"1855","13435"
"1856","13439"
"1857","13439"
"1858","13439"
"1859","13437"
"1860","13439"
"1861","13435"
"1862","13435"
"1863","13435"
"1864","13437"
"1865","13437"
"1866","13437"
"1867","13403"
"1868","13437"
