"","c.zips5..zips6..zips7..zips8..zips9..zips10."
"1156","14641"
"1157","14641"
"1158","14641"
"1159","13585"
"1160","13585"
"1161","13585"
"1162","13585"
"1163","13587"
"1164","13587"
"1165","13587"
"1166","13587"
"1167","14715"
"1168","14715"
"1169","14715"
"1170","14715"
"1171","Postcode Not Found"
"1172","Postcode Not Found"
"1173","14715"
"1174","14715"
"1175","15936"
"1176","15936"
"1177","15806"
"1178","14979"
"1179","14979"
"1180","15936"
"1181","14979"
"1182","14943"
"1183","15890"
"1184","14055"
"1185","14055"
"1186","14129"
"1187","14129"
"1188","10829"
"1189","10829"
"1190","10829"
"1191","10829"
"1192","14806"
"1193","15562"
"1194","14480"
"1195","14797"
"1196","14797"
"1197","14797"
"1198","14797"
"1199","14797"
"1200","16845"
"1201","03172"
"1202","15232"
"1203","15234"
"1204","15234"
"1205","15234"
"1206","15234"
"1207","15234"
"1208","15236"
"1209","15236"
"1210","15236"
"1211","15236"
"1212","15236"
"1213","15236"
"1214","15236"
"1215","15236"
"1216","15236"
"1217","15236"
"1218","15230"
"1219","15230"
"1220","15230"
"1221","15230"
"1222","15230"
"1223","15230"
"1224","15230"
"1225","15230"
"1226","15230"
"1227","15230"
"1228","15230"
"1229","15230"
"1230","15234"
"1231","15234"
"1232","15234"
"1233","15234"
"1234","15234"
"1235","15234"
"1236","15234"
"1237","15234"
"1238","15234"
"1239","15234"
"1240","15234"
"1241","15234"
"1242","15234"
"1243","15234"
"1244","15234"
"1245","15234"
"1246","15234"
"1247","15234"
"1248","15234"
"1249","15234"
"1250","15234"
"1251","15236"
"1252","15236"
"1253","15230"
"1254","15236"
"1255","15236"
"1256","15236"
"1257","15236"
"1258","15236"
"1259","15236"
"1260","15236"
"1261","15236"
"1262","15236"
"1263","15234"
"1264","15234"
"1265","15234"
"1266","15234"
"1267","15234"
"1268","15234"
"1269","15234"
"1270","15230"
"1271","15230"
"1272","15234"
"1273","15230"
"1274","15230"
"1275","15234"
"1276","15234"
"1277","15234"
"1278","15234"
"1279","15234"
"1280","15234"
"1281","15234"
"1282","15234"
"1283","15234"
"1284","15234"
"1285","15234"
"1286","15234"
"1287","15234"
"1288","15234"
"1289","15234"
"1290","15234"
"1291","15234"
"1292","15234"
"1293","Postcode Not Found"
"1294","Postcode Not Found"
"1295","15236"
"1296","15236"
"1297","15230"
"1298","15230"
"1299","15234"
"1300","15234"
"1301","15236"
"1302","15236"
"1303","15236"
"1304","15234"
"1305","15234"
"1306","15234"
"1307","15234"
"1308","15230"
"1309","15230"
"1310","15236"
"1311","15236"
"1312","15236"
"1313","15236"
"1314","15236"
"1315","15236"
"1316","15236"
"1317","15232"
"1318","15232"
"1319","15236"
"1320","15236"
"1321","15236"
"1322","15236"
"1323","15236"
"1324","15234"
"1325","15234"
"1326","15234"
"1327","15234"
"1328","15234"
"1329","15234"
"1330","15236"
"1331","15236"
"1332","15236"
"1333","15236"
"1334","15234"
"1335","15234"
"1336","15230"
"1337","15230"
"1338","15236"
"1339","15236"
"1340","15234"
"1341","15234"
"1342","15236"
"1343","15236"
"1344","15236"
"1345","15236"
"1346","15234"
"1347","15234"
"1348","15234"
"1349","15234"
"1350","15236"
"1351","15236"
"1352","15236"
"1353","15234"
"1354","15234"
"1355","15234"
