"","c.zips8..zips9..zips10..zips11."
"1304","12107"
"1305","12047"
"1306","12103"
"1307","12103"
"1308","13407"
"1309","10999"
"1310","13359"
"1311","13629"
"1312","13359"
"1313","12047"
"1314","13435"
"1315","14109"
"1316","10829"
"1317","12101"
"1318","13347"
"1319","10559"
"1320","12047"
"1321","10559"
"1322","12351"
"1323","13437"
"1324","13405"
"1325","13435"
"1326","13435"
"1327","10999"
"1328","14199"
"1329","13359"
"1330","13347"
"1331","10961"
"1332","10961"
"1333","10963"
"1334","13353"
"1335","13351"
"1336","13629"
"1337","13629"
"1338","10963"
"1339","10963"
"1340","13403"
"1341","13351"
"1342","13353"
"1343","12305"
"1344","14109"
"1345","13347"
"1346","13347"
"1347","13629"
"1348","12487"
"1349","10963"
"1350","13585"
"1351","12043"
"1352","13585"
"1353","10963"
"1354","13589"
"1355","13359"
"1356","13435"
"1357","12305"
"1358","14199"
"1359","14167"
"1360","14167"
"1361","14165"
"1362","14165"
"1363","12351"
"1364","10961"
"1365","12277"
"1366","10999"
"1367","14165"
"1368","14165"
"1369","14167"
"1370","14167"
"1371","12161"
"1372","13403"
"1373","10557"
"1374","10557"
"1375","12161"
"1376","10969"
"1377","12043"
"1378","12043"
"1379","13589"
"1380","12347"
"1381","12347"
"1382","12099"
"1383","12099"
"1384","12099"
"1385","13583"
"1386","12099"
"1387","12099"
"1388","12099"
"1389","12347"
"1390","12347"
"1391","14163"
"1392","12043"
"1393","12043"
"1394","13359"
"1395","13405"
"1396","14109"
"1397","12309"
"1398","12277"
"1399","13589"
"1400","12103"
"1401","12107"
"1402","12107"
"1403","13583"
"1404","12103"
"1405","12203"
"1406","12107"
"1407","13359"
"1408","12107"
"1409","12107"
"1410","12277"
"1411","14050"
"1412","14050"
"1413","12277"
"1414","12107"
"1415","12107"
"1416","14055"
"1417","14055"
"1418","10969"
"1419","12043"
"1420","12359"
"1421","12043"
"1422","12107"
"1423","12043"
"1424","12347"
"1425","13587"
"1426","12099"
"1427","12099"
"1428","12109"
"1429","12109"
"1430","12109"
"1431","13585"
"1432","13587"
"1433","13359"
"1434","12161"
"1435","13357"
"1436","13357"
"1437","10707"
"1438","10709"
"1439","10707"
"1440","10719"
"1441","10437"
"1442","12437"
"1443","10437"
"1444","13347"
"1445","13437"
"1446","10711"
"1447","13435"
"1448","13405"
"1449","13435"
"1450","13359"
"1451","13156"
"1452","14109"
"1453","12045"
"1454","10115"
"1455","12043"
"1456","13599"
"1457","12107"
"1458","13589"
"1459","10783"
"1460","10783"
"1461","13357"
"1462","10969"
"1463","13599"
"1464","14089"
"1465","12279"
"1466","13357"
"1467","13158"
"1468","12357"
"1469","14059"
"1470","13629"
"1471","12209"
"1472","12357"
"1473","12357"
"1474","12357"
"1475","12357"
"1476","12105"
"1477","12105"
"1478","13158"
"1479","12105"
"1480","12103"
"1481","12103"
"1482","13599"
"1483","12207"
"1484","12203"
"1485","12357"
"1486","12107"
"1487","12357"
"1488","13599"
"1489","13599"
"1490","14057"
"1491","14057"
"1492","14057"
"1493","10585"
"1494","13437"
"1495","12349"
"1496","10719"
"1497","13359"
"1498","12355"
"1499","12305"
"1500","12347"
"1501","12347"
"1502","12355"
"1503","13158"
"1504","13591"
"1505","10719"
"1506","12355"
"1507","12353"
"1508","13599"
"1509","10585"
"1510","14057"
"1511","14057"
"1512","14057"
"1513","13589"
"1514","12305"
"1515","12277"
"1516","13589"
"1517","13589"
"1518","12489"
"1519","13589"
"1520","12305"
"1521","13359"
"1522","13589"
"1523","13591"
"1524","13589"
"1525","12103"
"1526","12105"
"1527","12105"
"1528","12105"
"1529","13627"
"1530","12355"
"1531","12279"
"1532","12249"
"1533","12249"
"1534","12279"
"1535","12279"
"1536","12159"
"1537","12203"
"1538","12101"
"1539","10719"
"1540","12203"
"1541","12205"
"1542","10719"
"1543","12205"
"1544","12205"
"1545","10829"
"1546","12205"
"1547","12203"
"1548","12309"
"1549","12355"
"1550","13591"
"1551","13591"
"1552","10829"
"1553","13629"
"1554","13589"
"1555","12209"
"1556","10965"
"1557","10829"
"1558","13158"
"1559","13359"
"1560","13359"
"1561","14513"
"1562","13407"
"1563","13359"
"1564","13359"
"1565","13158"
"1566","12357"
"1567","12353"
"1568","14052"
"1569","12249"
"1570","12209"
"1571","13629"
"1572","12103"
"1573","12355"
"1574","14193"
"1575","14193"
"1576","13403"
"1577","13589"
"1578","10965"
"1579","13403"
"1580","12249"
"1581","12209"
"1582","12105"
"1583","13407"
"1584","10961"
"1585","10961"
"1586","14059"
"1587","14059"
"1588","10787"
"1589","12209"
"1590","13158"
"1591","13158"
"1592","12107"
"1593","12277"
"1594","12277"
"1595","13158"
"1596","13359"
"1597","10719"
"1598","12307"
"1599","12307"
"1600","13589"
"1601","13595"
"1602","13437"
"1603","13347"
"1604","13587"
"1605","14055"
"1606","14055"
"1607","14195"
"1608","12105"
"1609","13585"
"1610","13599"
"1611","13597"
"1612","12355"
"1613","10719"
"1614","13407"
"1615","13629"
"1616","12249"
"1617","12249"
"1618","14167"
"1619","14167"
"1620","12351"
"1621","12351"
"1622","13158"
"1623","12279"
"1624","12279"
"1625","12279"
"1626","12279"
"1627","12279"
"1628","12279"
"1629","12247"
"1630","13627"
"1631","14193"
"1632","12355"
"1633","13347"
"1634","10719"
"1635","12355"
"1636","12355"
"1637","12355"
"1638","12355"
"1639","12355"
"1640","12355"
"1641","12355"
"1642","12355"
"1643","14055"
"1644","14129"
"1645","12355"
"1646","12247"
"1647","12169"
"1648","12105"
"1649","12105"
"1650","12169"
"1651","12169"
"1652","12159"
"1653","12159"
"1654","12159"
"1655","12347"
"1656","13591"
"1657","12203"
"1658","13347"
"1659","13347"
"1660","13347"
"1661","12347"
"1662","13347"
"1663","13347"
"1664","13347"
"1665","13403"
"1666","13403"
"1667","14129"
"1668","12159"
"1669","12159"
"1670","12159"
"1671","12169"
"1672","12169"
"1673","12105"
"1674","12105"
"1675","12169"
"1676","13589"
"1677","10783"
"1678","12247"
"1679","12247"
"1680","12305"
"1681","12203"
"1682","13629"
"1683","12203"
"1684","13629"
"1685","13403"
"1686","13585"
"1687","13347"
"1688","13347"
"1689","10557"
"1690","10557"
"1691","10559"
"1692","10559"
"1693","10559"
"1694","10557"
"1695","13587"
"1696","14167"
"1697","10557"
"1698","10557"
"1699","13587"
"1700","10559"
"1701","10559"
"1702","10559"
"1703","10557"
"1704","13585"
"1705","13585"
"1706","10585"
"1707","13585"
"1708","12351"
"1709","12351"
"1710","13593"
"1711","13435"
"1712","12277"
"1713","13593"
"1714","12277"
"1715","10719"
"1716","13435"
"1717","12203"
"1718","13629"
"1719","12203"
"1720","12203"
"1721","12247"
"1722","12247"
"1723","13407"
"1724","13435"
"1725","14167"
"1726","12205"
"1727","12203"
"1728","12203"
"1729","12207"
"1730","12203"
"1731","12203"
"1732","12203"
"1733","12203"
"1734","12203"
"1735","12203"
"1736","12203"
"1737","12203"
"1738","12207"
"1739","14513"
"1740","12203"
"1741","12205"
"1742","13435"
"1743","14167"
"1744","12207"
"1745","14167"
"1746","14167"
"1747","14167"
"1748","14167"
"1749","12203"
"1750","12203"
"1751","12203"
"1752","12203"
"1753","12203"
"1754","12203"
"1755","12203"
"1756","12203"
"1757","12203"
"1758","12203"
"1759","14167"
"1760","12205"
"1761","14167"
"1762","14167"
"1763","12205"
"1764","12205"
"1765","14109"
"1766","14513"
"1767","14059"
"1768","14059"
"1769","14055"
"1770","12047"
"1771","14059"
"1772","10585"
"1773","14169"
"1774","12247"
"1775","12205"
"1776","14482"
"1777","13593"
"1778","14193"
"1779","12351"
"1780","13597"
"1781","13595"
"1782","13595"
"1783","12203"
"1784","13589"
"1785","13587"
"1786","12351"
"1787","13597"
"1788","12277"
"1789","13347"
"1790","10783"
"1791","13597"
"1792","14052"
"1793","12105"
"1794","12105"
"1795","12279"
"1796","13403"
"1797","13347"
"1798","13403"
"1799","13587"
"1800","12305"
"1801","10437"
"1802","12107"
"1803","12347"
"1804","12347"
"1805","12347"
"1806","12359"
"1807","12359"
"1808","12351"
"1809","12351"
"1810","13591"
"1811","14169"
"1812","12351"
"1813","12351"
"1814","12359"
"1815","12359"
"1816","12347"
"1817","12347"
"1818","12347"
"1819","13505"
"1820","13503"
"1821","13503"
"1822","13503"
"1823","16761"
"1824","13505"
"1825","13505"
"1826","13505"
"1827","13505"
"1828","13505"
"1829","13505"
"1830","13505"
"1831","16761"
"1832","13503"
"1833","13503"
"1834","13503"
"1835","12163"
"1836","14089"
"1837","14089"
"1838","14089"
"1839","14089"
"1840","14089"
"1841","14089"
"1842","14089"
"1843","14089"
"1844","12203"
"1845","10783"
"1846","12349"
