"";"Straﬂe";"PLZ";"District";"SubDistrict"
"H";"Heinrichplatz";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"H";"Hobrechtbr¸cke";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"H";"Hohenstaufenplatz";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"H";"Hornstraﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"I";"Ida-Wolff-Platz";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"J";"Jahnstraﬂe";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"J";"Jakobikirchstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"J";"Johanniterstraﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"J";"J¸terboger Straﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kastanienplatz";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Katzbachstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kleinbeerenstraﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kleine Parkstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kloedenstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kochstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kˆpenicker Straﬂe";"10997, 10179";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kˆrtestraﬂe";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kˆthener Br¸cke";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kˆthener Straﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kohlfurter Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kolonie BLW - Unterbezirk Potsdamer G-Bahnhof Schˆneberger Ufer";"10785";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kommandantenstraﬂe";"10969, 10117";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kopischstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kottbusser Br¸cke";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kottbusser Damm";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kottbusser Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kottbusser Tor";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"K";"Kreuzbergstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Lachmannstraﬂe";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Lausitzer Platz";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Lausitzer Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Legiendamm";"10179, 10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Leuschnerdamm";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Liegnitzer Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Lilienthalstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Lindenstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Lobeckstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Luckauer Straﬂe";"10969, 10179";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"Luckenwalder Straﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"L";"L¸bbener Straﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Manteuffelstraﬂe";"10997, 10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Marheinekeplatz";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mariannenplatz";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mariannenstraﬂe";"10997, 10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Markgrafenstraﬂe";"10969, 10117";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"May-Ayim-Ufer";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mehringbr¸cke";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mehringdamm";"10961, 10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mehringplatz";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Methfesselstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mittenwalder Straﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mˆckernbr¸cke";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Mˆckernstraﬂe";"10963, 10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Monumentenstraﬂe";"10829, 10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Moritzplatz";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Moritzstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"M¸llenhoffstraﬂe";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"M";"Muskauer Straﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"N";"Naunynstraﬂe";"10997, 10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"N";"Neuenburger Straﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"N";"Niederkirchnerstraﬂe";"10117, 10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"N";"Nostitzstraﬂe";"10961, 10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Obentrautstraﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Oberbaumstraﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Obere Freiarchenbr¸cke";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Ohlauer Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Oppelner Straﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Oranienplatz";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"O";"Oranienstraﬂe";"10997, 10999, 10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"Paul-Lincke-Ufer";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"Pfuelstraﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"Planufer";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"Prinzenstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"Prinzessinnenstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"P¸cklerstraﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"P";"Puttkamerstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Rahel-Varnhagen-Promenade";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Ratiborstraﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Reichenberger Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Riemannstraﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Ritterstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Rudi-Dutschke-Straﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"R";"Ruhlsdorfer Straﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schenkendorfstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schleiermacherstraﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schlesische Br¸cke";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schlesische Straﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schlesisches Tor";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schleusenufer";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schmiedehof";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schˆneberger Br¸cke";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schˆneberger Straﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schˆneberger Ufer";"10785";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schˆnleinstraﬂe";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Schwiebusser Straﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Sebastianstraﬂe";"10179, 10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Segitzdamm";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Sixtusgarten";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Skalitzer Straﬂe";"10999, 10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Solmsstraﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Sorauer Straﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Spreewaldplatz";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Stallschreiberstraﬂe";"10969, 10179";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"Stresemannstraﬂe";"10963, 10117";"Friedrichshain-Kreuzberg";"Kreuzberg"
"S";"S¸dstern";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Taborstraﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Tempelherrenstraﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Tempelhofer Ufer";"10961, 10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Thielenbr¸cke";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Tivoliplatz";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Trebbiner Straﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"T";"Treptower Br¸cke";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"U";"Urbanhafen";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"U";"Urbanstraﬂe";"10961, 10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"V";"Vor dem Schlesischen Tor";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Waldemarstraﬂe";"10999, 10997, 10179";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wartenburgstraﬂe";"10963";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wassertorplatz";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wassertorstraﬂe";"10969";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Waterloo-Ufer";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Waterloobr¸cke";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Werner-D¸ttmann-Platz";"10967";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wiener Br¸cke";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wiener Straﬂe";"10999";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wilhelmshˆhe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wilhelmstraﬂe";"10963, 10117";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Willibald-Alexis-Straﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wilmsstraﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"W";"Wrangelstraﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"Y";"Yorckstraﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"Z";"Zeughofstraﬂe";"10997";"Friedrichshain-Kreuzberg";"Kreuzberg"
"Z";"Zimmerstraﬂe";"10969, 10117";"Friedrichshain-Kreuzberg";"Kreuzberg"
"Z";"Zossener Br¸cke";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"Z";"Zossener Straﬂe";"10961";"Friedrichshain-Kreuzberg";"Kreuzberg"
"Z";"Z¸llichauer Straﬂe";"10965";"Friedrichshain-Kreuzberg";"Kreuzberg"
"A";"Allendorfer Weg";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Altenhofer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Am Faulen See";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Anna-Ebermann-Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Annemariestraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Arendsweg";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Arnimstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"A";"Augustastraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Bahnhofstraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Bennostraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Berkenbr¸cker Steig";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Bertastraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Biesenthaler Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Biesterfelder Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"Bitburger Straﬂe";"13088, 13051";"Lichtenberg";"Alt-Hohenschoenhausen"
"B";"B¸rknersfelder Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"C";"Chamierstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"C";"Christianstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"C";"Christophstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Darﬂer Straﬂe";"13051, 13088";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Dasburger Weg";"13051";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Degnerstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Detlevstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Dietrichplatz";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Dietrichstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Dingelst‰dter Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Dˆhrendahlstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"D";"Drossener Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"E";"Edgarstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"E";"Elfriedestraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"E";"Elsaplatz";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"E";"Elsastraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"F";"Falkenberger Chaussee";"13053, 13057, 13051, 13059";"Lichtenberg";"Alt-Hohenschoenhausen"
"F";"Feldtmannstraﬂe";"13088, 13051";"Lichtenberg";"Alt-Hohenschoenhausen"
"F";"Ferdinand-Schultze-Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"F";"Freienwalder Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"F";"Friedhofstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"F";"Fritz-Lesch-Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"G‰rtnerstraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Gehrenseestraﬂe";"13053, 12681";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Gembitzer Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Genslerstraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Gertrudstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Gerzlower Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Goeckestraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Gottfriedstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Grenzgrabenstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Gropiusstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"G";"Groﬂe-Leege-Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Hansastraﬂe";"13053, 13051, 13088";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Hauptstraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Heckelberger Ring";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Hedwigstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Heiligenstadter Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Heldburger Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Hertastraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Hofheimer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"H";"Hohengraper Weg";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"I";"Indira-Gandhi-Straﬂe";"13088, 13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"J";"Joachimsthaler Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"J";"Josef-Hˆhn-Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"K‰theplatz";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"K‰thestraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Klarastraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kˆnigswalder Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Feierabend";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Feldtmannsburg";"13051";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Land in Sonne, Block 1";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Land in Sonne, Block 2";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Land in Sonne, Block 3";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie M¸hlengrund";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Oranke";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Pflanzerfreunde";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Roedernaue";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kolonie Sonnenblume";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Konrad-Wolf-Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"K¸llstedter Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"K¸striner Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"K";"Kyllburger Weg";"13051";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Landsberger Allee";"10249, 10407, 10369, 10367, 10365, 12681, 13055, 12679";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Leuenberger Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Lichtenauer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Liebenwalder Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Lindenweg";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Lˆssauer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Lotharstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"L";"Lukasstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Malchower Weg";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Manetstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Marie-Luise-Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Markfriedstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Marzahner Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Meusebachstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"M";"Mittelstraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"N";"Neustrelitzer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"N";"Neuzeller Weg";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"N";"Niehofer Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"N";"Norbertstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Oberseepark";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Oberseeplatz";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Oberseestraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Orankesee";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Orankestrand";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Orankestraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Orankeweg";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"O";"Oswaldstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Papendickstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Paul-Koenig-Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Perler Straﬂe";"13051, 13088";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Plauener Straﬂe";"13055, 13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 1";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 10";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 12";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 2";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 3";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 4";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 5";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 6";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 7";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 8";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"P";"Privatstraﬂe 9";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"R";"Rackwitzer Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"R";"Reichenberger Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"R";"Rhinstraﬂe";"10315, 13053, 12681";"Lichtenberg";"Alt-Hohenschoenhausen"
"R";"Roderichplatz";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"R";"Roedernstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Sabinensteig";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Sandinostraﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Schalkauer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Scharnweberstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Schleizer Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Schˆneicher Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Seefelder Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Simon-Bolivar-Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Sollstedter Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Stellerweg";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 109";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 133";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 134";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 142";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 150";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 155";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 156";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Straﬂe 158";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Strausberger Platz";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Strausberger Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"S";"Suermondtstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"T";"Tamseler Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"T";"Themarer Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"T";"Theobaldstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"T";"Titastraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"T";"Treffurter Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"V";"Verdener Gasse";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Waldowstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Wartenberger Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Wassergrundstraﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Waxweiler Weg";"13051";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Weiﬂenseer Weg";"10367, 10369, 13055, 13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Werneuchener Straﬂe";"13055";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Witzenhauser Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
"W";"Wollenberger Straﬂe";"13053";"Lichtenberg";"Alt-Hohenschoenhausen"
